,name,sqft,sqm,psf,location,amenities,amenities_count,price
0,Factory in Shine@Tuas South,3391,315.03,478,Tuas (D22),[],0,1620735
1,Factory in Lam Soon Industrial Building,1658,154.03,802,Choa Chu Kang (D23),[],0,1330000
2,Office in Plus,3477,323.02,3088,Marina (D1),"['Air conditioning', 'Security access']",2,10736419
3,Office in Plus,1647,153.01,3258,Marina (D1),"['Air conditioning', 'Security access']",2,5365883
4,Office in Plus,2304,214.05,3272,Marina (D1),"['Air conditioning', 'Security access']",2,7537855
5,Office in Plus,2368,219.99,2963,Marina (D1),"['Air conditioning', 'Security access']",2,7017076
6,General Industrial in Space 21,2433,226.03,820,Paya Lebar (D14),"['Loading bay', 'Handicap friendly', 'Security access', 'Bath room', 'Car park', '24 hr access']",6,1995000
7,Retail in Jurong Gateway,431,40.04,6961,Tuas (D22),[],0,3000000
8,Warehouse in Oxley Bizhub 2,1916,178,626,Paya Lebar (D14),[],0,1200000
9,Retail in Viva Vista,172,15.98,3128,Clementi (D5),"['24 hr access', 'Loading bay', 'Cctv', 'Air conditioning', 'Car park']",5,538000
10,General Industrial in International Road,34400,"3,195.86",201,Tuas (D22),[],0,6900000
11,General Industrial in International Road,56000,"5,202.57",80,Tuas (D22),[],0,4500000
12,General Industrial in Tuas South Avenue 3,19000,"1,765.16",211,Tuas (D22),[],0,4000000
13,General Industrial in International Road,13000,"1,207.74",222,Tuas (D22),"['Loading bay', 'Bath room']",2,2880000
14,Shophouse in River Valley Road,6148,571.17,1952,Telok Blangah (D4),[],0,12000000
15,General Industrial in Senoko Drive,95000,"8,825.78",168,Yishun (D27),[],0,16000000
16,General Industrial in International Road,74000,"6,874.82",128,Tuas (D22),[],0,9500000
17,General Industrial in International Road,48400,"4,496.51",134,Tuas (D22),[],0,6500000
18,General Industrial in Second Lok Yang Road,26000,"2,415.48",92,Tuas (D22),[],0,2380000
19,General Industrial in International Road,47000,"4,366.44",202,Tuas (D22),[],0,9500000
20,General Industrial in Tuas South Avenue 6,14800,"1,374.96",372,Tuas (D22),[],0,5500000
21,Office in The Modules,840,78.04,1857,Marine Parade (D15),"['Air conditioning', 'Cctv', 'Car park', 'Pantry', 'Meeting rooms']",5,1560000
22,Office in Oxley Bizhub,1023,95.04,831,Paya Lebar (D14),"['Bath room', 'Security access', 'Car park', '24 hr access', 'Column free', 'Air conditioning', 'Loading bay']",7,850000
23,Retail in Royal Square At Novena,377,35.02,8459,Toa Payoh (D12),"['Air conditioning', 'Car park', '24 hr access']",3,3189000
